antecedent,consequent,support,confidence,lift
pcc=1 AND rbc=0,class=ckd,0.115,1.0,1.5625
pcv=33.5 - 37.4 AND pot=< 7.31,class=ckd,0.115,1.0,1.5625
sc=< 3.65 AND sg=1.015 - 1.017,class=ckd,0.115,1.0,1.5625
cad=1,class=ckd,0.11,1.0,1.5625
pcv=29.6 - 33.5,class=ckd,0.11,1.0,1.5625
sc=3.65 - 6.8,class=ckd,0.11,1.0,1.5625
al=2 - 2 AND cad=0,class=ckd,0.11,1.0,1.5625
al=3 - 3 AND pot=< 7.31,class=ckd,0.11,1.0,1.5625
ane=1 AND bp (Diastolic)=1,class=ckd,0.11,1.0,1.5625
appet=1 AND pc=1,class=ckd,0.11,1.0,1.5625
ba=0 AND pcc=1,class=ckd,0.11,1.0,1.5625
ba=0 AND pcv=33.5 - 37.4,class=ckd,0.11,1.0,1.5625
bp limit=2 AND dm=0,class=ckd,0.11,1.0,1.5625
bp limit=2 AND pc=1,class=ckd,0.11,1.0,1.5625
bp limit=2 AND sod=133 - 138,class=ckd,0.11,1.0,1.5625
bp limit=2 AND wbcc=7360 - 9740,class=ckd,0.11,1.0,1.5625
cad=1 AND pot=< 7.31,class=ckd,0.11,1.0,1.5625
dm=0 AND htn=1,class=ckd,0.11,1.0,1.5625
dm=0 AND sg=1.009 - 1.011,class=ckd,0.11,1.0,1.5625
dm=1 AND pcv=37.4 - 41.3,class=ckd,0.11,1.0,1.5625
dm=1 AND pe=1,class=ckd,0.11,1.0,1.5625
hemo=10 - 11.3 AND pe=0,class=ckd,0.11,1.0,1.5625
hemo=10 - 11.3 AND sc=< 3.65,class=ckd,0.11,1.0,1.5625
htn=0 AND sg=1.009 - 1.011,class=ckd,0.11,1.0,1.5625
htn=1 AND pcv=37.4 - 41.3,class=ckd,0.11,1.0,1.5625
pc=1 AND sod=133 - 138,class=ckd,0.11,1.0,1.5625
pcv=29.6 - 33.5 AND pot=< 7.31,class=ckd,0.11,1.0,1.5625
sg=1.009 - 1.011 AND wbcc=7360 - 9740,class=ckd,0.11,1.0,1.5625
al=1 - 1,class=ckd,0.105,1.0,1.5625
rbcc=3.28 - 3.87,class=ckd,0.105,1.0,1.5625
al=1 - 1 AND ba=0,class=ckd,0.105,1.0,1.5625
al=3 - 3 AND ba=0,class=ckd,0.105,1.0,1.5625
ane=0 AND pe=1,class=ckd,0.105,1.0,1.5625
ane=1 AND pcc=0,class=ckd,0.105,1.0,1.5625
ba=0 AND hemo=8.7 - 10,class=ckd,0.105,1.0,1.5625
ba=0 AND rbc=1,class=ckd,0.105,1.0,1.5625
bp (Diastolic)=1 AND sg=1.009 - 1.011,class=ckd,0.105,1.0,1.5625
cad=0 AND hemo=10 - 11.3,class=ckd,0.105,1.0,1.5625
cad=0 AND pcv=33.5 - 37.4,class=ckd,0.105,1.0,1.5625
hemo=10 - 11.3 AND su=< 0,class=ckd,0.105,1.0,1.5625
pc=0 AND sg=1.015 - 1.017,class=ckd,0.105,1.0,1.5625
pc=1 AND pcc=1,class=ckd,0.105,1.0,1.5625
pcc=0 AND rbc=1,class=ckd,0.105,1.0,1.5625
pot=< 7.31 AND rbcc=3.28 - 3.87,class=ckd,0.105,1.0,1.5625
pot=< 7.31 AND sc=3.65 - 6.8,class=ckd,0.105,1.0,1.5625
sg=1.015 - 1.017 AND sod=133 - 138,class=ckd,0.105,1.0,1.5625
al=1 - 1 AND pot=< 7.31,class=ckd,0.1,1.0,1.5625
al=2 - 2 AND pe=0,class=ckd,0.1,1.0,1.5625
ane=0 AND pcv=33.5 - 37.4,class=ckd,0.1,1.0,1.5625
appet=1 AND pe=0,class=ckd,0.1,1.0,1.5625
appet=1 AND pe=1,class=ckd,0.1,1.0,1.5625
appet=1 AND sod=133 - 138,class=ckd,0.1,1.0,1.5625
appet=1 AND wbcc=7360 - 9740,class=ckd,0.1,1.0,1.5625
ba=0 AND sc=3.65 - 6.8,class=ckd,0.1,1.0,1.5625
bp (Diastolic)=1 AND rbc=1,class=ckd,0.1,1.0,1.5625
